entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
15 20 0 1 1953 1954 53301612.000000 53301612.000000 53301612.000000
20 25 0 1 1953 1954 49132528.000000 49132528.000000 49132528.000000
25 30 0 1 1953 1954 43069468.000000 43069468.000000 43069468.000000
30 35 0 1 1953 1954 40361180.000000 40361180.000000 40361180.000000
35 40 0 1 1953 1954 38789704.000000 38789704.000000 38789704.000000
40 45 0 1 1953 1954 33614216.000000 33614216.000000 33614216.000000
45 50 0 1 1953 1954 29234194.000000 29234194.000000 29234194.000000
50 55 0 1 1953 1954 25207796.000000 25207796.000000 25207796.000000
55 60 0 1 1953 1954 20522064.000000 20522064.000000 20522064.000000
60 65 0 1 1953 1954 16918284.000000 16918284.000000 16918284.000000
65 70 0 1 1953 1954 12046355.000000 12046355.000000 12046355.000000
70 120 0 1 1953 1954 13169524.000000 13169524.000000 13169524.000000
0 5 0 1 1954 1955 102091376.000000 102091376.000000 102091376.000000
5 10 0 1 1954 1955 67209120.000000 67209120.000000 67209120.000000
10 15 0 1 1954 1955 54509652.000000 54509652.000000 54509652.000000
15 20 0 1 1954 1955 53318332.000000 53318332.000000 53318332.000000
20 25 0 1 1954 1955 49957400.000000 49957400.000000 49957400.000000
25 30 0 1 1954 1955 43819408.000000 43819408.000000 43819408.000000
30 35 0 1 1954 1955 40077600.000000 40077600.000000 40077600.000000
35 40 0 1 1954 1955 39137976.000000 39137976.000000 39137976.000000
40 45 0 1 1954 1955 34260772.000000 34260772.000000 34260772.000000
45 50 0 1 1954 1955 29251716.000000 29251716.000000 29251716.000000
50 55 0 1 1954 1955 25783178.000000 25783178.000000 25783178.000000
55 60 0 1 1954 1955 20453568.000000 20453568.000000 20453568.000000
60 65 0 1 1954 1955 17068448.000000 17068448.000000 17068448.000000
65 70 0 1 1954 1955 11881848.000000 11881848.000000 11881848.000000
70 120 0 1 1954 1955 13150829.000000 13150829.000000 13150829.000000
0 5 0 1 1955 1956 102596136.000000 102596136.000000 102596136.000000
5 10 0 1 1955 1956 70863144.000000 70863144.000000 70863144.000000
10 15 0 1 1955 1956 55408648.000000 55408648.000000 55408648.000000
15 20 0 1 1955 1956 53369728.000000 53369728.000000 53369728.000000
20 25 0 1 1955 1956 50747568.000000 50747568.000000 50747568.000000
25 30 0 1 1955 1956 44762140.000000 44762140.000000 44762140.000000
30 35 0 1 1955 1956 40182096.000000 40182096.000000 40182096.000000
35 40 0 1 1955 1956 39405452.000000 39405452.000000 39405452.000000
40 45 0 1 1955 1956 34996120.000000 34996120.000000 34996120.000000
45 50 0 1 1955 1956 29558050.000000 29558050.000000 29558050.000000
50 55 0 1 1955 1956 26242884.000000 26242884.000000 26242884.000000
55 60 0 1 1955 1956 20717398.000000 20717398.000000 20717398.000000
60 65 0 1 1955 1956 17183178.000000 17183178.000000 17183178.000000
65 70 0 1 1955 1956 11876153.000000 11876153.000000 11876153.000000
70 120 0 1 1955 1956 12925707.000000 12925707.000000 12925707.000000
0 5 0 1 1956 1957 105448552.000000 105448552.000000 105448552.000000
5 10 0 1 1956 1957 74988968.000000 74988968.000000 74988968.000000
10 15 0 1 1956 1957 56582024.000000 56582024.000000 56582024.000000
15 20 0 1 1956 1957 52918528.000000 52918528.000000 52918528.000000
20 25 0 1 1956 1957 50963924.000000 50963924.000000 50963924.000000
25 30 0 1 1956 1957 45398584.000000 45398584.000000 45398584.000000
30 35 0 1 1956 1957 40177616.000000 40177616.000000 40177616.000000
35 40 0 1 1956 1957 39091800.000000 39091800.000000 39091800.000000
40 45 0 1 1956 1957 35380564.000000 35380564.000000 35380564.000000
45 50 0 1 1956 1957 29777946.000000 29777946.000000 29777946.000000
50 55 0 1 1956 1957 26218686.000000 26218686.000000 26218686.000000
55 60 0 1 1956 1957 20783304.000000 20783304.000000 20783304.000000
60 65 0 1 1956 1957 16918126.000000 16918126.000000 16918126.000000
65 70 0 1 1956 1957 11871552.000000 11871552.000000 11871552.000000
70 120 0 1 1956 1957 13077371.000000 13077371.000000 13077371.000000
0 5 0 1 1957 1958 103740960.000000 103740960.000000 103740960.000000
5 10 0 1 1957 1958 80327144.000000 80327144.000000 80327144.000000
10 15 0 1 1957 1958 58706208.000000 58706208.000000 58706208.000000
15 20 0 1 1957 1958 52754784.000000 52754784.000000 52754784.000000
20 25 0 1 1957 1958 51399036.000000 51399036.000000 51399036.000000
25 30 0 1 1957 1958 46429400.000000 46429400.000000 46429400.000000
30 35 0 1 1957 1958 40692332.000000 40692332.000000 40692332.000000
35 40 0 1 1957 1958 38844388.000000 38844388.000000 38844388.000000
40 45 0 1 1957 1958 36012476.000000 36012476.000000 36012476.000000
45 50 0 1 1957 1958 30373724.000000 30373724.000000 30373724.000000
50 55 0 1 1957 1958 26258786.000000 26258786.000000 26258786.000000
55 60 0 1 1957 1958 21220354.000000 21220354.000000 21220354.000000
60 65 0 1 1957 1958 16673540.000000 16673540.000000 16673540.000000
65 70 0 1 1957 1958 12023004.000000 12023004.000000 12023004.000000
70 120 0 1 1957 1958 13095262.000000 13095262.000000 13095262.000000
0 5 0 1 1958 1959 99973160.000000 99973160.000000 99973160.000000
5 10 0 1 1958 1959 86320080.000000 86320080.000000 86320080.000000
10 15 0 1 1958 1959 61503920.000000 61503920.000000 61503920.000000
15 20 0 1 1958 1959 52839136.000000 52839136.000000 52839136.000000
20 25 0 1 1958 1959 51828960.000000 51828960.000000 51828960.000000
25 30 0 1 1958 1959 47586392.000000 47586392.000000 47586392.000000
30 35 0 1 1958 1959 41507688.000000 41507688.000000 41507688.000000
35 40 0 1 1958 1959 38627680.000000 38627680.000000 38627680.000000
