n age vac state e cov waning impact impact_low impact_hi irr irr_low irr_hi AsurpE
1 3 E_p S 0.8 0.7 10 3.221067 2.23717 4.171957 11.106756 8.100647 13.998119 1
2 3 E_p S 0.8 0.7 20 3.456474 2.406182 4.463422 12.521143 9.210534 15.67289 1
3 3 E_p L 0.8 0.7 10 0 0 0 0 0 0 0
4 3 E_p L 0.8 0.7 20 0 0 0 0 0 0 0
5 3 E_p LR 0.8 0.7 10 0 0 0 0 0 0 0
6 3 E_p LR 0.8 0.7 20 0 0 0 0 0 0 0
7 3 E_p SLR 0.8 0.7 10 3.221067 2.23717 4.171957 11.106756 8.100647 13.998119 1
8 3 E_p SLR 0.8 0.7 20 3.456474 2.406182 4.463422 12.521143 9.210534 15.67289 1
1 3 E_q S 0.8 0.7 10 0.01333 0.006897 0.022018 0.062504 0.033559 0.099748 1
2 3 E_q S 0.8 0.7 20 0.015116 0.007865 0.025109 0.076879 0.041867 0.123025 1
3 3 E_q L 0.8 0.7 10 0.084864 0.053806 0.127087 0.254461 0.164305 0.392141 0
4 3 E_q L 0.8 0.7 20 0.091878 0.058129 0.137783 0.294636 0.190805 0.44698 0
5 3 E_q LR 0.8 0.7 10 0.098548 0.0638 0.14623 0.294015 0.191453 0.442024 0
6 3 E_q LR 0.8 0.7 20 0.106795 0.068862 0.158201 0.340074 0.223885 0.510194 0
7 3 E_q SLR 0.8 0.7 10 0.111815 0.070453 0.165158 0.356452 0.2283 0.541089 0
8 3 E_q SLR 0.8 0.7 20 0.121681 0.076468 0.179913 0.418622 0.26825 0.625947 0
1 3 E_rl S 0.8 0.7 10 0.105701 0.081141 0.143523 0.4887 0.393342 0.638911 1
2 3 E_rl S 0.8 0.7 20 0.124653 0.095686 0.168231 0.62929 0.507869 0.821297 1
3 3 E_rl L 0.8 0.7 10 0.695775 0.565625 0.891128 2.133389 1.657627 2.757932 0
4 3 E_rl L 0.8 0.7 20 0.775895 0.62701 0.990148 2.578789 1.99702 3.356944 0
5 3 E_rl LR 0.8 0.7 10 0.695775 0.565625 0.891128 2.133389 1.657627 2.757932 0
6 3 E_rl LR 0.8 0.7 20 0.775895 0.62701 0.990148 2.578789 1.99702 3.356944 0
7 3 E_rl SLR 0.8 0.7 10 0.797481 0.651389 1.004629 2.600104 2.081986 3.384865 0
8 3 E_rl SLR 0.8 0.7 20 0.893395 0.727441 1.12542 3.179421 2.540589 4.131231 0
1 3 E_relapse S 0.8 0.7 10 0.015383 0.010445 0.021145 0.064443 0.041602 0.087574 1
2 3 E_relapse S 0.8 0.7 20 0.018675 0.012787 0.025422 0.087963 0.059219 0.11875 1
3 3 E_relapse L 0.8 0.7 10 0.006684 0.00479 0.008592 0.020577 0.011522 0.029541 0
4 3 E_relapse L 0.8 0.7 20 0.007981 0.005785 0.010242 0.02884 0.01707 0.04039 0
5 3 E_relapse LR 0.8 0.7 10 0.106791 0.075547 0.148902 0.208967 0.109657 0.33244 0
6 3 E_relapse LR 0.8 0.7 20 0.122026 0.086753 0.169559 0.27946 0.159723 0.442017 0
7 3 E_relapse SLR 0.8 0.7 10 0.122736 0.089054 0.16409 0.273465 0.155215 0.401715 0
8 3 E_relapse SLR 0.8 0.7 20 0.141294 0.103305 0.187568 0.370632 0.22565 0.536383 0
1 3 All S 0.8 0.7 10 3.341898 2.343365 4.295393 11.632073 8.649406 14.561228 1
2 3 All S 0.8 0.7 20 3.598187 2.533152 4.605176 13.20285 9.909974 16.38139 1
3 3 All L 0.8 0.7 10 0.783842 0.649462 0.970337 2.382563 1.926458 2.992773 0
4 3 All L 0.8 0.7 20 0.87212 0.720271 1.076222 2.8701 2.299149 3.621643 0
5 3 All LR 0.8 0.7 10 0.896484 0.754088 1.097293 2.610881 2.10214 3.271943 0
6 3 All LR 0.8 0.7 20 0.997944 0.83845 1.217631 3.171445 2.529915 4.003715 0
7 3 All SLR 0.8 0.7 10 4.150946 3.218322 5.073907 13.894111 11.222117 16.632215 0
8 3 All SLR 0.8 0.7 20 4.495987 3.510745 5.463137 15.946294 13.069436 18.881948 0
