n age vac state e cov waning impact impact_low impact_hi irr irr_low irr_hi AsurpE
1 3 E_p S 0.8 0.7 10 1.904998 1.361164 2.405761 4.931292 3.91319 5.807385 0
2 3 E_p S 0.8 0.7 20 2.068898 1.475832 2.60348 5.735873 4.589028 6.747414 0
3 3 E_p L 0.8 0.7 10 0 0 0 0 0 0 0
4 3 E_p L 0.8 0.7 20 0 0 0 0 0 0 0
5 3 E_p LR 0.8 0.7 10 0 0 0 0 0 0 0
6 3 E_p LR 0.8 0.7 20 0 0 0 0 0 0 0
7 3 E_p SLR 0.8 0.7 10 1.904998 1.361164 2.405761 4.931292 3.91319 5.807385 0
8 3 E_p SLR 0.8 0.7 20 2.068898 1.475832 2.60348 5.735873 4.589028 6.747414 0
1 3 E_q S 0.8 0.7 10 0.005509 0.002988 0.009201 0.019171 0.011022 0.029971 0
2 3 E_q S 0.8 0.7 20 0.006426 0.003451 0.010691 0.025027 0.014361 0.039045 0
3 3 E_q L 0.8 0.7 10 0.045442 0.029115 0.068457 0.094801 0.061442 0.137821 0
4 3 E_q L 0.8 0.7 20 0.049617 0.031815 0.075188 0.114791 0.074661 0.169057 0
5 3 E_q LR 0.8 0.7 10 0.052606 0.034669 0.079677 0.108918 0.071948 0.159238 0
6 3 E_q LR 0.8 0.7 20 0.057641 0.037943 0.087711 0.132116 0.087525 0.194812 0
7 3 E_q SLR 0.8 0.7 10 0.058036 0.037851 0.088317 0.128716 0.084182 0.187482 0
8 3 E_q SLR 0.8 0.7 20 0.063902 0.041594 0.0979 0.156902 0.102733 0.232105 0
1 3 E_rl S 0.8 0.7 10 0.061934 0.049724 0.080741 0.220377 0.169205 0.28895 0
2 3 E_rl S 0.8 0.7 20 0.074088 0.059612 0.095986 0.294234 0.22595 0.383904 0
3 3 E_rl L 0.8 0.7 10 0.508961 0.40493 0.69235 1.133831 0.816837 1.695242 0
4 3 E_rl L 0.8 0.7 20 0.57015 0.453453 0.778759 1.409032 0.999212 2.133516 0
5 3 E_rl LR 0.8 0.7 10 0.508961 0.40493 0.69235 1.133831 0.816837 1.695242 0
6 3 E_rl LR 0.8 0.7 20 0.57015 0.453453 0.778759 1.409032 0.999212 2.133516 0
7 3 E_rl SLR 0.8 0.7 10 0.569924 0.456132 0.763965 1.355182 0.993858 1.962368 0
8 3 E_rl SLR 0.8 0.7 20 0.643716 0.514355 0.861543 1.706978 1.246658 2.466512 0
1 3 E_relapse S 0.8 0.7 10 0.009229 0.006694 0.012553 0.030167 0.021577 0.039746 0
2 3 E_relapse S 0.8 0.7 20 0.011326 0.008252 0.015343 0.042665 0.031485 0.05485 0
3 3 E_relapse L 0.8 0.7 10 0.004726 0.003559 0.00612 0.011292 0.006948 0.017191 0
4 3 E_relapse L 0.8 0.7 20 0.00573 0.004345 0.007484 0.016352 0.010646 0.024789 0
5 3 E_relapse LR 0.8 0.7 10 0.087193 0.058844 0.130807 0.121909 0.062297 0.216159 0
6 3 E_relapse LR 0.8 0.7 20 0.100177 0.068264 0.150334 0.172124 0.095101 0.301994 0
7 3 E_relapse SLR 0.8 0.7 10 0.096639 0.068058 0.140047 0.152653 0.083708 0.249874 0
8 3 E_relapse SLR 0.8 0.7 20 0.111857 0.078933 0.161417 0.215236 0.130688 0.347743 0
1 3 All S 0.8 0.7 10 1.979421 1.43438 2.48229 5.192033 4.166917 6.05108 0
2 3 All S 0.8 0.7 20 2.156445 1.563244 2.692928 6.08982 4.929866 7.076986 0
3 3 All L 0.8 0.7 10 0.558558 0.454752 0.736012 1.233081 0.907505 1.783802 0
4 3 All L 0.8 0.7 20 0.625487 0.508942 0.824654 1.534065 1.114687 2.231058 0
5 3 All LR 0.8 0.7 10 0.648811 0.531393 0.850839 1.357101 0.99015 1.997382 0
6 3 All LR 0.8 0.7 20 0.728021 0.595426 0.958101 1.707376 1.236305 2.522666 0
7 3 All SLR 0.8 0.7 10 2.592617 2.181077 3.069997 6.482096 5.644011 7.36761 0
8 3 All SLR 0.8 0.7 20 2.848231 2.403316 3.360047 7.705641 6.840106 8.689709 0
